lon;lat
78.549143;18.526396
78.549143;18.568979
78.594059;18.355959
78.594059;18.398584
78.594059;18.441199
78.594059;18.483803
78.594059;18.526396
78.594059;18.568979
78.638975;18.355959
78.638975;18.398584
78.638975;18.441199
78.638975;18.483803
78.638975;18.526396
78.638975;18.568979
78.683890;18.355959
78.683890;18.398584
78.683890;18.441199
78.683890;18.483803
78.683890;18.526396
78.683890;18.568979
78.728806;18.355959
78.728806;18.398584
78.728806;18.441199
78.728806;18.483803
78.728806;18.526396
78.728806;18.568979
78.773722;18.355959
78.773722;18.398584
78.773722;18.441199
78.773722;18.483803
78.773722;18.526396
78.773722;18.568979
78.818638;18.355959
78.818638;18.398584
78.818638;18.441199
78.818638;18.483803
78.818638;18.526396
78.818638;18.568979
78.863553;18.355959
78.863553;18.398584
78.863553;18.441199
78.863553;18.483803
78.863553;18.526396
78.863553;18.568979
78.908469;18.355959
78.908469;18.398584
78.908469;18.441199
78.908469;18.483803
78.908469;18.526396
78.908469;18.568979
78.953385;18.355959
78.953385;18.398584
78.953385;18.441199
78.953385;18.483803
78.953385;18.526396
78.953385;18.568979
78.998301;18.355959
78.998301;18.398584
78.998301;18.441199
78.998301;18.483803
78.998301;18.526396
78.998301;18.568979
79.043217;18.355959
79.043217;18.398584
79.043217;18.441199
79.043217;18.483803
79.043217;18.526396
79.043217;18.568979
79.088132;18.355959
79.088132;18.398584
79.088132;18.441199
79.088132;18.483803
79.088132;18.526396
79.088132;18.568979
79.133048;18.355959
79.133048;18.398584
79.133048;18.441199
79.133048;18.483803
79.133048;18.526396
79.133048;18.568979
79.177964;18.355959
79.177964;18.398584
79.177964;18.441199
79.177964;18.483803
79.177964;18.526396
79.177964;18.568979
79.222880;18.355959
79.222880;18.398584
79.222880;18.441199
79.222880;18.483803
79.222880;18.526396
79.222880;18.568979
79.267795;18.355959
79.267795;18.398584
79.267795;18.441199
79.267795;18.483803
79.267795;18.526396
79.267795;18.568979
79.312711;18.355959
79.312711;18.398584
79.312711;18.441199
79.312711;18.483803
79.312711;18.526396
79.312711;18.568979
79.357627;18.355959
79.357627;18.398584
79.357627;18.441199
79.357627;18.483803
79.357627;18.526396
79.357627;18.568979
79.402543;18.355959
79.402543;18.398584
79.402543;18.441199
79.402543;18.483803
79.402543;18.526396
79.402543;18.568979
79.447458;18.355959
79.447458;18.398584
79.447458;18.441199
79.447458;18.483803
79.447458;18.526396
79.447458;18.568979
79.492374;18.355959
79.492374;18.398584
79.492374;18.441199
79.492374;18.483803
79.492374;18.526396
79.492374;18.568979
79.537290;18.355959
79.537290;18.398584
79.537290;18.441199
79.537290;18.483803
79.537290;18.526396
79.537290;18.568979
79.582206;18.355959
79.582206;18.398584
79.582206;18.441199
79.582206;18.483803
79.582206;18.526396
79.582206;18.568979
79.627121;18.355959
79.627121;18.398584
79.627121;18.441199
79.627121;18.483803
79.627121;18.526396
79.627121;18.568979
79.672037;18.355959
79.672037;18.398584
79.672037;18.441199
79.672037;18.483803
79.672037;18.526396
79.672037;18.568979
79.716953;18.355959
79.716953;18.398584
79.716953;18.441199
79.716953;18.483803
79.716953;18.526396
79.716953;18.568979
79.761869;18.355959
79.761869;18.398584
79.761869;18.441199
79.761869;18.483803
79.761869;18.526396
79.761869;18.568979
79.806785;18.355959
79.806785;18.398584
79.806785;18.441199
79.806785;18.483803
79.806785;18.526396
79.806785;18.568979
